rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Endogenous1_hsa-miR-642a-5p|0_MIMAT0003312,16.2682056069314,0.556964220222942,0.248815007421763,2.23846714872323,0.0251906073919553,0.119655385111787
Endogenous1_hsa-miR-302d-3p|0.006_MIMAT0000718,25.4317217616577,-0.627673635431831,0.281262888714894,-2.23162621382333,0.0256396776206975,0.119709120150335
Endogenous1_hsa-miR-199b-5p|0_MIMAT0000263,15.2881322688346,0.520021723556995,0.233128226345393,2.23062531598621,0.0257059584322824,0.119709120150335
Endogenous1_hsa-miR-1236-3p|0_MIMAT0005591,17.430722722605,-0.546809655016308,0.245837585040679,-2.22427199211962,0.0261301499115569,0.12050311852417
Endogenous1_hsa-miR-335-5p|0_MIMAT0000765,18.7440849151052,0.533267976687272,0.241775653563888,2.20563141419183,0.0274098176776834,0.125189071124035
Endogenous1_hsa-miR-2113|0_MIMAT0009206,10.0631277458698,0.56894209060501,0.258438920810213,2.20145668779826,0.0277037096784567,0.125326305688257
Endogenous1_hsa-miR-29a-3p|0_MIMAT0000086,28.3060762182788,-0.520734668714757,0.237473392862414,-2.19281268708894,0.0283208774768033,0.125851686733999
Endogenous1_hsa-miR-181d-3p|0_MIMAT0026608,16.3242030659989,0.521529660437028,0.237879370338247,2.19241231257444,0.0283497483800798,0.125851686733999
Endogenous1_hsa-miR-140-5p|0_MIMAT0000431,17.684298400021,-0.51978369806741,0.237762617162307,-2.18614559458934,0.0288049551407283,0.126688460109684
Endogenous1_hsa-miR-525-5p|0_MIMAT0002838,24.2966247747686,0.493407056729486,0.226146155579441,2.18180607786703,0.0291238478288218,0.126915850630187
Endogenous1_hsa-miR-210-5p|0_MIMAT0026475,15.7904955470984,0.528804303098324,0.243426940219003,2.17233270328493,0.0298305770054519,0.128122235806401
Endogenous1_hsa-miR-449b-5p|0_MIMAT0003327,17.2398207979522,0.497935623575892,0.229370263283019,2.17088133591882,0.0299401435252853,0.128122235806401
Endogenous1_hsa-miR-208b-3p|0_MIMAT0004960,21.92030231216,0.494216726051172,0.231552042716801,2.13436564952106,0.0328128611585347,0.138460213789193
Endogenous1_hsa-miR-378g|0_MIMAT0018937,18.7723851191317,0.476135112314253,0.223241364268498,2.132826565876,0.0329389561224816,0.138460213789193
Endogenous1_hsa-miR-499a-5p|0_MIMAT0002870,13.4766173414975,0.509153063887058,0.240763060668461,2.11474743041325,0.0344514795268077,0.143547831361699
Endogenous1_hsa-miR-451a|0_MIMAT0001631,745.210400967448,-0.588374661835769,0.279404992997679,-2.10581298323705,0.0352206006090376,0.14470904562058
Endogenous1_hsa-miR-563|0_MIMAT0003227,21.8512185164598,0.511609338650389,0.24322080796074,2.10347684862954,0.0354241069739295,0.14470904562058
Endogenous1_hsa-miR-150-5p|0_MIMAT0000451,30.3445793491993,-0.603631338817808,0.287311599161715,-2.10096404245082,0.0356441228160167,0.14470904562058
